GENESIS-Tabelle: 21211-0001
Auszubildende: Deutschland, Stichtag, Nationalität, Geschlecht, Ausbildungsbereich;;;;;;;;;;;;;;;;
Berufsbildungsstatistik;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;
Auszubildende (Anzahl);;;;;;;;;;;;;;;;
;;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021
Hauswirtschaft;Deutsche;Insgesamt;10770;10347;9618;8787;7719;6933;6300;5817;5361;5130;4893;4761;4542;4329
Hauswirtschaft;Ausländer;männlich;30;39;36;33;33;36;30;30;42;69;81;90;81;63
Hauswirtschaft;Ausländer;weiblich;369;405;432;456;444;417;345;351;339;390;372;330;288;228
Hauswirtschaft;Ausländer;Insgesamt;402;444;468;489;477;453;375;381;384;459;453;423;369;291
Hauswirtschaft;Insgesamt;männlich;876;810;753;705;675;597;555;546;558;594;609;693;702;702
Hauswirtschaft;Insgesamt;weiblich;10296;9984;9333;8571;7521;6789;6120;5652;5187;4992;4737;4491;4212;3918
Hauswirtschaft;Insgesamt;Insgesamt;11172;10794;10086;9276;8196;7386;6675;6195;5745;5586;5346;5184;4914;4620
Insgesamt;Deutsche;männlich;933864;901923;865725;842322;828645;808545;790203;776460;763992;761229;761361;760656;744279;733740
Insgesamt;Deutsche;weiblich;606378;593754;565404;540645;522606;503586;484881;473157;460707;449427;438006;425796;403854;387000
Insgesamt;Deutsche;Insgesamt;1540245;1495677;1431129;1382970;1351251;1312131;1275084;1249617;1224699;1210656;1199367;1186452;1148130;1120737
Insgesamt;Ausländer;männlich;40761;42078;43038;43662;44214;45678;47655;50997;57885;72999;89502;98535;95490;88650
Insgesamt;Ausländer;weiblich;32337;33702;34161;34026;34512;34077;35811;36390;38613;40239;41892;43980;45342;46053
Insgesamt;Ausländer;Insgesamt;73098;75780;77199;77688;78726;79755;83466;87390;96495;113238;131397;142512;140829;134703
Insgesamt;Insgesamt;männlich;974628;944001;908763;885987;872856;854226;837861;827457;821877;834228;850866;859191;839766;822387
Insgesamt;Insgesamt;weiblich;638715;627456;599565;574671;557121;537663;520692;509547;499320;489666;479898;469773;449193;433053
Insgesamt;Insgesamt;Insgesamt;1613343;1571457;1508328;1460658;1429977;1391886;1358550;1337004;1321197;1323894;1330764;1328964;1288962;1255440
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:09:40
