;;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr;Schuljahr
;;1997/98;1997/98;1997/98;1998/99;1998/99;1998/99;1999/00;1999/00;1999/00;2000/01;2000/01;2000/01;2001/02;2001/02;2001/02;2002/03;2002/03;2002/03;2003/04;2003/04;2003/04;2004/05;2004/05;2004/05;2005/06;2005/06;2005/06;2006/07;2006/07;2006/07;2007/08;2007/08;2007/08;2008/09;2008/09;2008/09;2009/10;2009/10;2009/10;2010/11;2010/11;2010/11;2011/12;2011/12;2011/12;2012/13;2012/13;2012/13;2013/14;2013/14;2013/14;2014/15;2014/15;2014/15;2015/16;2015/16;2015/16;2016/17;2016/17;2016/17;2017/18;2017/18;2017/18;2018/19;2018/19;2018/19;2019/20;2019/20;2019/20;2020/21;2020/21;2020/21
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
Schularten mit mehreren Bildungsgängen;Hauptschulabschluss;10133;5973;16106;9797;5990;15787;9547;5828;15375;9398;5908;15306;10971;7086;18057;13116;8875;21991;13175;8845;22020;11817;7939;19756;11444;7521;18965;9762;6766;16528;8884;6169;15053;8714;6197;14911;8728;6214;14942;9836;6797;16633;10006;6690;16696;10131;6847;16978;10835;7246;18081;10524;7187;17711;10461;7041;17502;12385;7794;20179;13359;8187;21543;13824;8679;22500;13395;8205;21603;13590;8494;22087
Schularten mit mehreren Bildungsgängen;Mittlerer Schulabschluss;21148;21586;42734;21487;21969;43456;22297;22819;45116;22834;24010;46844;23371;24264;47635;31309;32313;63622;30603;31730;62333;29887;30100;59987;28622;28336;56958;25214;23808;49022;20798;19849;40647;18878;18486;37364;19444;18720;38164;20789;19632;40421;23355;22324;45679;25325;24012;49337;26678;25143;51821;27393;25805;53198;26971;25134;52105;31474;29085;60559;33522;30795;64317;33477;31128;64605;33780;31653;65433;33779;31600;65379
Schularten mit mehreren Bildungsgängen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schularten mit mehreren Bildungsgängen;Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Schularten mit mehreren Bildungsgängen;Insgesamt;35464;29345;64809;35930;30377;66307;37016;31187;68203;37888;32664;70552;39689;33827;73516;49392;43476;92868;48445;42706;91151;45641;39880;85521;43743;37680;81423;38174;32184;70358;32629;27619;60248;29882;25950;55832;30156;26201;56357;32717;27738;60455;35537;30288;65825;37745;32229;69974;40049;33893;73942;40581;34628;75209;40704;33986;74690;47844;39103;86947;51399;41460;92859;52149;42420;94569;50589;41877;92466;51332;42534;93866
Realschulen;Ohne Hauptschulabschluss;2635;1655;4290;2817;1874;4691;3001;1773;4774;3036;2051;5087;2208;1581;3789;2469;1819;4288;2071;1425;3496;2074;1382;3456;2028;1361;3389;1780;1232;3012;1818;1258;3076;1732;1265;2997;1588;1002;2590;1363;935;2298;1349;968;2317;1227;816;2043;994;642;1636;1043;564;1607;977;651;1628;1915;1035;2950;1779;978;2757;1626;909;2535;846;516;1362;1155;732;1882
Realschulen;Hauptschulabschluss;6225;4813;11038;6763;5372;12135;6943;5486;12429;7155;5805;12960;6706;5565;12271;5693;4746;10439;5512;4256;9768;5229;4013;9242;5762;4641;10403;5689;4316;10005;5236;4100;9336;5159;4015;9174;5202;3704;8906;4848;3448;8296;5005;3552;8557;4793;3358;8151;3996;2745;6741;3570;2243;5813;3757;2402;6159;3971;2617;6588;4329;2574;6903;4002;2400;6402;4449;2835;7284;4990;3416;8406
Realschulen;Mittlerer Schulabschluss;101950;113514;215464;102160;113447;215607;100600;111878;212478;102576;112155;214731;102488;113040;215528;98444;107065;205509;103604;112067;215671;105529;113236;218765;106637;113458;220095;108445;114256;222701;104511;108903;213414;101779;106217;207996;99577;101665;201242;94348;95705;190053;93934;95713;189647;97112;98570;195682;92687;93774;186461;87941;88872;176813;86332;86668;173000;79597;78940;158537;71904;70479;142386;67302;68085;135390;64926;64104;129030;63101;62363;125464
Realschulen;Fachhochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Realschulen;Allgemeine Hochschulreife;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
