GENESIS-Tabelle: 81000-0140
VGR des Bundes - Steuereinnahmen:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Steuereinnahmearten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steuereinnahmen (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
VGR-STE-16;Steuereinnahmen aus der übrigen Welt;1,233;1,655;1,341;1,740;1,863;2,297;1,711;2,388;2,539;2,588;2,366;2,055;1,660;2,363;2,881;4,347;5,937;6,006;4,397;4,206;6,761;5,324;6,338;8,147;10,548;10,850;9,801;10,261;11,784;10,938;12,043;14,226
VGR-STE-2;Steuern inländischer Sektoren a.d.EU (Eigenmittel);5,080;4,700;4,340;4,230;4,160;3,760;3,980;3,750;3,616;3,819;3,543;3,247;3,049;3,277;3,797;4,132;4,203;4,725;3,944;4,165;4,615;4,526;4,315;4,636;5,476;5,169;5,060;5,038;5,096;4,740;5,031;6,644
VGR-STE-22;Zölle;4,200;4,010;3,790;3,660;3,680;3,420;3,530;3,314;3,201;3,398;3,229;2,883;2,873;2,996;3,377;4,022;3,764;3,639;3,465;4,135;4,579;4,467;4,244;4,527;5,130;5,133;5,025;5,074;5,096;4,740;5,031;6,646
VGR-STE-23;Abschöpfungs- und Währungsausgleichsbeträge;0,200;0,180;0,190;0,160;0,110;0,000;0,010;0,003;0,001;0,009;0,006;0,001;0,000;0,000;0,010;0,001;0,000;0,214;0,111;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
VGR-STE-24;Sonstige Eigenmittel (oh. BNE basierte EU-Eigenm.);0,680;0,510;0,360;0,410;0,370;0,340;0,440;0,433;0,414;0,412;0,308;0,363;0,176;0,281;0,410;0,109;0,439;0,872;0,368;0,030;0,036;0,059;0,071;0,109;0,346;0,036;0,035;-0,036;0,000;0,000;0,000;-0,002
VGR-STE-3;Steuern;356,621;389,830;400,661;419,933;428,993;430,779;434,036;454,332;486,121;502,716;480,371;476,296;481,834;481,370;493,957;531,418;578,664;598,185;565,936;568,009;610,809;636,628;655,251;677,650;710,570;744,358;778,345;813,103;839,364;787,878;892,588;964,132
VGR-STE-4;Laufende Steuern;350,191;383,590;394,781;413,913;423,023;424,969;427,986;448,122;479,445;495,907;473,758;470,019;475,415;473,803;486,060;523,526;570,261;588,690;557,452;559,439;601,949;627,797;646,304;667,562;698,804;732,183;767,171;801,253;827,281;774,482;877,781;948,262
VGR-STE-41;Produktions- und Importabgaben;155,941;168,390;179,397;195,483;196,847;197,611;200,627;208,114;223,552;227,940;231,000;232,699;237,556;235,433;237,320;246,459;269,974;274,417;275,845;278,398;295,735;301,188;305,690;314,179;327,044;335,128;345,768;356,565;369,769;345,821;392,757;420,511
VGR-STE-411;Gütersteuern;147,471;158,876;169,151;184,521;185,412;185,769;188,222;195,220;209,944;214,160;217,079;218,600;223,133;220,836;222,150;231,143;254,389;258,656;259,688;262,013;277,294;281,449;285,911;294,138;305,466;313,974;324,787;334,562;345,846;321,199;359,977;385,316
VGR-STE-4111;Mehrwertsteuer;95,550;102,400;111,517;120,222;120,216;121,484;123,024;129,206;137,706;140,005;139,090;136,783;137,198;137,445;139,801;147,137;170,067;175,869;177,701;180,213;189,910;194,034;197,005;203,081;211,616;218,779;226,582;235,130;244,111;221,562;259,385;287,508
VGR-STE-4112;Importabgaben (ohne Einfuhrumsatzsteuer);10,459;11,229;9,269;10,130;10,883;11,785;12,763;12,241;12,399;14,210;16,052;14,592;15,019;14,242;13,619;13,402;12,650;12,503;13,503;15,296;18,152;17,485;18,222;19,098;18,855;21,050;22,675;24,568;25,527;25,710;26,313;24,035
VGR-STE-41121;Zölle;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
VGR-STE-41122;Importsteuern;10,459;11,229;9,269;10,130;10,883;11,785;12,763;12,241;12,399;14,210;16,052;14,592;15,019;14,242;13,619;13,402;12,650;12,503;13,503;15,296;18,152;17,485;18,222;19,098;18,855;21,050;22,675;24,568;25,527;25,710;26,313;24,035
VGR-STE-411221;Verbrauchsteuern auf Einfuhren;10,459;11,229;9,269;10,130;10,883;11,785;12,763;12,241;12,399;14,210;16,052;14,592;15,019;14,242;13,619;13,402;12,650;12,503;13,503;15,296;18,152;17,485;18,222;19,098;18,855;21,050;22,675;24,568;25,527;25,710;26,313;24,035
