;;;WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche);WZ2008 (Wirtschaftsbereiche)
;;;WZ08-B-08 Produzierendes Gewerbe und Dienstleistungsbereich;WZ08-B-09 Produzierendes Gewerbe und wirtschaftl. Dienstl.;WZ08-B-05 Produzierendes Gewerbe;WZ08-B Bergbau und Gewinnung von Steinen und Erden;WZ08-C Verarbeitendes Gewerbe;WZ08-D Energieversorgung;WZ08-E Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;WZ08-F Baugewerbe;WZ08-G-02 Dienstleistungsbereich;WZ08-G-03 Wirtschaftliche Dienstleistungen;WZ08-G Handel, Instandhaltung und Reparatur von Kfz;WZ08-H Verkehr und Lagerei;WZ08-I Gastgewerbe;WZ08-J Information und Kommunikation;WZ08-K Erbringung von Finanz- und Versicherungsleistungen;WZ08-L Grundstücks- und Wohnungswesen;WZ08-M Freiberufliche, wiss. u. techn. Dienstleistungen;WZ08-N Sonstige wirtschaftliche Dienstleistungen;WZ08-O-01 Öffentliche und persönliche Dienstleistungen;WZ08-O Öff. Verwaltung, Verteidigung, Sozialversicherung;WZ08-P Erziehung und Unterricht;WZ08-Q Gesundheits- und Sozialwesen;WZ08-R Kunst, Unterhaltung und Erholung;WZ08-S Erbringung von sonstigen Dienstleistungen
Originalwerte;2012;4. Quartal;99,161;97,927;97,665;106,753;97,114;102,033;102,409;98,304;99,882;98,150;98,887;102,020;95,844;95,737;99,701;100,676;99,172;91,767;102,150;102,084;103,526;101,576;102,177;100,909
Originalwerte;2013;1. Quartal;86,492;86,872;86,801;96,777;86,193;81,042;85,086;90,956;86,347;86,936;88,074;86,580;86,491;89,498;89,263;84,758;82,748;86,761;85,561;83,569;88,414;87,492;86,749;77,677
Originalwerte;2013;2. Quartal;100,167;101,822;102,580;111,741;103,909;98,876;92,876;97,779;99,014;101,192;102,254;101,173;94,046;102,516;108,950;101,244;97,291;97,724;96,111;95,214;97,924;96,596;101,093;90,967
Originalwerte;2013;3. Quartal;86,496;85,772;86,347;91,008;86,169;77,616;83,917;89,483;86,569;85,294;86,981;86,945;84,174;83,364;81,980;86,347;83,435;88,062;88,268;88,140;90,986;88,632;88,252;80,692
Originalwerte;2013;4. Quartal;99,405;97,960;99,013;112,222;98,909;100,772;103,016;97,927;99,595;97,083;98,797;99,741;93,994;95,023;98,813;97,929;95,319;93,822;102,943;103,516;103,955;103,125;102,052;98,550
Originalwerte;2014;1. Quartal;87,561;87,791;87,190;93,176;86,815;80,640;86,846;90,477;87,736;88,287;87,807;85,192;88,898;94,127;90,112;84,737;86,669;88,136;86,994;85,725;89,321;87,518;87,737;83,087
Originalwerte;2014;2. Quartal;103,004;105,033;106,219;111,670;108,111;99,305;97,919;99,268;101,481;104,051;102,323;101,569;100,585;105,756;113,999;101,574;104,392;99,958;98,027;97,197;98,975;97,883;100,030;98,248
Originalwerte;2014;3. Quartal;89,423;88,661;88,424;90,785;88,166;82,953;88,139;91,053;89,896;88,855;88,733;87,844;91,546;89,875;85,456;90,750;90,125;89,182;91,292;91,911;92,903;90,670;91,453;87,778
Originalwerte;2014;4. Quartal;101,812;100,170;100,558;111,230;100,362;104,548;106,714;99,165;102,406;99,847;99,781;99,544;98,708;99,227;101,268;100,162;102,723;94,887;105,839;107,238;106,775;104,447;102,473;105,754
Originalwerte;2015;1. Quartal;90,317;90,535;89,699;101,915;88,931;88,955;88,692;93,338;90,610;91,230;90,412;88,118;92,206;95,335;90,528;90,579;92,385;91,015;89,786;89,551;90,450;89,459;93,356;88,951
Originalwerte;2015;2. Quartal;105,931;108,162;109,596;117,989;111,309;107,581;100,728;102,274;104,190;106,967;104,984;104,484;103,739;110,735;114,261;100,291;108,412;103,646;100,499;100,427;100,466;99,715;108,185;101,175
Originalwerte;2015;3. Quartal;91,785;91,255;90,767;97,952;90,236;89,907;90,024;93,461;92,269;91,661;90,534;90,883;93,439;94,052;85,824;92,312;94,863;93,146;93,076;93,183;94,258;92,444;95,553;91,443
Originalwerte;2015;4. Quartal;103,219;101,433;101,170;115,140;100,698;109,093;105,681;100,284;104,192;101,651;100,266;101,391;99,994;102,654;101,720;101,070;105,274;99,132;107,568;108,713;107,622;105,972;109,866;109,341
Originalwerte;2016;1. Quartal;93,799;94,211;93,198;95,862;92,688;91,594;93,279;96,069;94,079;95,037;95,103;94,150;95,894;96,493;93,974;94,060;94,691;95,947;92,793;92,178;92,340;92,695;96,416;94,905
Originalwerte;2016;2. Quartal;105,465;107,116;107,641;105,984;109,043;106,476;100,171;101,880;104,446;106,687;105,579;106,516;104,310;107,427;112,129;104,466;106,468;105,331;101,437;100,451;101,354;101,678;103,528;102,967
Originalwerte;2016;3. Quartal;94,232;93,828;93,137;90,931;92,550;91,214;93,976;96,602;94,744;94,392;95,057;95,015;97,111;94,107;88,517;96,037;94,526;96,621;95,218;95,269;96,079;94,491;97,156;95,146
Originalwerte;2016;4. Quartal;106,505;104,845;106,024;107,223;105,719;110,716;112,574;105,449;106,730;103,884;104,261;104,318;102,685;101,973;105,380;105,436;104,315;102,102;110,552;112,102;110,227;111,136;102,900;106,981
Originalwerte;2017;1. Quartal;94,557;94,754;92,556;94,442;91,557;89,309;93,164;98,314;95,481;96,523;95,655;92,240;98,426;97,942;93,848;94,340;99,198;99,582;94,079;94,278;90,459;95,416;97,341;95,297
Originalwerte;2017;2. Quartal;110,844;113,222;114,478;109,258;115,852;110,509;107,751;109,558;109,166;112,211;110,451;108,501;108,991;111,546;118,335;110,697;114,595;112,702;105,064;105,506;102,519;105,627;109,408;105,868
Originalwerte;2017;3. Quartal;96,895;96,895;96,339;94,694;95,517;91,650;97,250;101,628;97,152;97,343;97,314;95,288;100,680;96,862;89,369;97,086;100,007;102,102;96,894;97,429;95,453;97,478;97,454;96,018
Originalwerte;2017;4. Quartal;110,406;109,397;111,359;112,718;110,660;113,283;119,510;113,231;109,967;107,818;108,127;106,217;108,803;104,300;107,167;109,313;109,705;108,716;112,860;113,150;109,500;115,228;109,109;111,292
Originalwerte;2018;1. Quartal;98,631;99,117;97,436;97,247;96,363;92,992;97,179;104,039;99,169;100,446;99,354;94,740;104,169;101,461;97,219;99,243;102,746;105,887;97,454;97,594;96,078;98,255;98,743;96,458
Originalwerte;2018;2. Quartal;113,251;116,012;117,332;107,685;118,657;112,122;107,505;113,678;111,397;114,966;112,986;110,472;114,666;114,355;119,288;113,197;117,318;117,771;106,613;106,032;105,413;107,570;110,339;105,819
Originalwerte;2018;3. Quartal;100,463;100,326;99,628;96,258;98,595;94,245;102,236;105,952;100,838;100,877;100,231;97,863;105,762;99,122;92,092;102,507;103,072;109,310;100,782;101,735;99,761;101,787;100,307;96,189
Originalwerte;2018;4. Quartal;113,258;111,943;113,254;114,705;112,269;113,949;120,456;117,005;113,255;110,904;110,407;107,860;113,090;106,522;108,714;117,374;112,870;115,625;116,398;117,426;113,606;118,418;112,162;112,856
Originalwerte;2019;1. Quartal;100,763;101,430;99,395;98,822;98,485;94,641;99,227;105,250;101,383;103,049;102,073;95,965;106,780;106,057;101,023;97,156;103,739;110,672;99,151;98,623;97,243;101,132;100,602;96,244
Originalwerte;2019;2. Quartal;118,253;120,808;121,502;113,731;122,388;119,608;113,622;118,960;116,770;120,254;117,955;112,676;117,518;119,825;127,069;114,412;122,973;126,259;112,110;112,343;111,364;112,775;118,119;108,095
Originalwerte;2019;3. Quartal;102,955;102,878;102,400;95,256;101,730;95,448;102,280;107,785;103,205;103,258;101,955;98,536;108,589;103,972;95,485;102,100;104,766;113,437;103,128;103,819;103,181;104,020;103,894;96,651
Originalwerte;2019;4. Quartal;116,836;115,464;116,210;114,293;114,803;118,258;124,626;121,719;117,118;114,869;113,753;110,959;117,018;110,851;114,563;115,005;116,536;122,394;120,114;120,544;118,625;122,243;118,380;113,725
Originalwerte;2020;1. Quartal;104,776;104,157;100,771;109,257;99,450;99,740;101,842;107,347;106,585;106,852;106,926;100,309;108,875;108,557;105,786;103,393;107,281;112,076;106,214;105,802;103,130;107,502;113,674;106,934
Originalwerte;2020;2. Quartal;121,605;122,924;121,658;120,168;122,295;123,240;114,409;119,277;121,576;123,930;125,563;117,097;122,022;121,253;130,064;118,987;124,437;125,404;118,453;115,878;112,761;120,368;137,642;125,497
Originalwerte;2020;3. Quartal;107,858;106,897;105,399;108,948;104,419;100,482;106,224;111,368;108,967;108,089;108,676;102,226;112,785;106,749;99,924;109,130;110,602;114,867;110,104;108,762;106,510;111,767;124,330;110,813
Originalwerte;2020;4. Quartal;118,169;115,137;113,397;124,175;111,818;119,087;122,581;118,366;120,325;116,521;117,506;112,703;120,945;111,347;115,216;118,235;118,167;119,347;125,316;122,764;120,343;126,151;148,713;133,858
Originalwerte;2021;1. Quartal;105,228;104,179;101,192;114,018;99,526;96,192;103,293;109,735;107,041;106,541;107,841;99,084;111,985;106,965;105,390;105,997;105,655;111,400;107,680;104,684;102,748;109,721;130,985;112,224
Originalwerte;2021;2. Quartal;120,816;121,729;119,503;123,792;119,159;120,134;116,954;121,664;121,418;123,498;124,888;116,190;123,110;122,933;127,946;120,614;122,557;126,385;118,656;115,845;113,336;120,216;144,838;124,793
Originalwerte;2021;3. Quartal;110,236;109,202;107,404;112,574;105,548;100,239;110,346;117,463;111,513;110,634;111,501;106,067;116,000;108,871;103,314;111,026;111,489;118,545;112,651;111,499;108,934;114,513;122,680;113,537
Originalwerte;2021;4. Quartal;122,769;119,626;117,533;131,363;115,270;120,475;128,531;125,640;125,118;121,291;121,732;117,950;125,415;115,511;120,538;122,688;123,007;125,535;130,137;128,786;124,941;131,479;141,470;137,501
Originalwerte;2022;1. Quartal;109,586;108,893;105,684;128,949;103,321;99,319;109,023;117,321;111,338;111,425;111,455;103,170;117,193;110,996;113,155;107,953;111,373;117,945;111,202;109,524;105,573;113,813;121,137;115,196
Originalwerte;2022;2. Quartal;129,036;131,768;128,410;152,012;127,518;132,511;127,018;131,538;129,342;134,423;132,839;121,345;135,626;130,568;141,357;130,623;140,506;139,073;122,607;117,519;113,836;128,035;142,642;128,930
Originalwerte;2022;3. Quartal;113,221;112,814;108,931;128,212;106,082;104,618;115,188;122,026;115,146;115,870;114,907;108,747;131,160;112,004;106,315;118,812;119,042;127,462;114,166;108,976;105,445;120,612;128,127;117,980
Originalwerte;2022;4. Quartal;132,082;130,271;125,891;156,451;122,242;129,639;140,340;139,292;134,852;133,720;132,984;125,269;149,193;121,910;128,474;129,064;142,682;142,569;136,321;129,454;127,787;142,757;152,649;144,433
BV4.1 kalenderbereinigt;1996;1. Quartal;61,902;61,313;59,975;/;58,108;51,806;60,038;69,726;62,991;62,779;62,815;72,871;65,483;55,694;57,481;69,315;60,914;63,912;63,337;56,050;72,337;64,372;69,377;59,503
BV4.1 kalenderbereinigt;1996;2. Quartal;70,403;70,568;69,281;/;68,493;60,608;65,099;75,280;70,950;71,956;73,530;83,739;74,485;64,006;63,895;78,704;68,244;72,094;69,850;60,141;78,313;72,976;82,467;67,284
BV4.1 kalenderbereinigt;1996;3. Quartal;64,007;63,074;62,502;/;61,064;51,783;61,847;71,237;64,817;63,626;65,022;74,625;69,494;55,743;52,824;71,106;61,943;66,423;66,340;58,489;75,128;67,718;75,808;62,390
BV4.1 kalenderbereinigt;1996;4. Quartal;74,547;72,218;71,817;/;70,618;65,488;74,573;78,000;76,124;72,550;73,811;87,864;75,763;62,551;61,835;78,225;70,100;72,166;80,518;71,885;91,021;81,845;88,756;74,991
BV4.1 kalenderbereinigt;1997;1. Quartal;62,677;62,021;60,449;/;58,659;52,728;61,488;69,532;63,959;63,765;63,622;73,270;66,237;59,845;58,081;67,640;62,798;65,645;64,286;55,880;74,683;65,274;71,060;61,431
BV4.1 kalenderbereinigt;1997;2. Quartal;72,509;72,576;71,174;/;70,740;62,599;70,194;75,407;73,187;74,096;75,652;85,938;75,581;68,870;66,092;76,368;70,548;74,584;72,206;62,053;81,963;74,773;84,245;70,143
BV4.1 kalenderbereinigt;1997;3. Quartal;64,875;63,837;63,071;/;61,692;53,007;64,732;71,245;65,877;64,619;66,143;75,975;70,302;59,028;52,800;68,569;63,347;67,597;67,482;59,645;77,502;67,884;76,495;63,586
BV4.1 kalenderbereinigt;1997;4. Quartal;75,318;72,689;72,212;/;71,394;67,097;77,830;76,107;77,136;73,108;74,550;87,596;76,037;65,494;62,370;76,604;71,061;72,215;82,076;73,434;93,385;83,037;89,313;76,043
BV4.1 kalenderbereinigt;1998;1. Quartal;63,471;62,760;60,991;/;59,636;54,394;65,633;67,953;64,908;64,721;64,462;74,353;66,342;62,077;59,781;68,329;63,264;65,482;65,228;57,306;76,095;65,190;72,315;62,225
BV4.1 kalenderbereinigt;1998;2. Quartal;73,459;73,409;72,299;/;71,702;65,393;73,222;76,826;74,035;74,581;75,828;86,837;75,219;70,851;67,126;77,815;70,898;73,639;73,490;63,219;84,095;75,219;87,182;71,441
BV4.1 kalenderbereinigt;1998;3. Quartal;66,357;64,998;64,265;/;63,040;55,168;68,753;71,500;67,541;65,743;67,079;77,437;69,921;61,740;54,074;70,774;64,456;67,875;69,794;61,869;80,394;69,960;78,482;65,571
BV4.1 kalenderbereinigt;1998;4. Quartal;77,021;74,509;74,299;/;74,087;69,281;82,321;75,462;78,583;74,628;76,274;89,054;76,535;68,487;63,985;79,145;72,181;72,458;83,436;74,469;94,830;84,412;91,312;78,219
BV4.1 kalenderbereinigt;1999;1. Quartal;64,741;64,019;62,597;/;61,460;55,189;67,518;68,921;65,960;65,554;65,673;75,597;66,994;64,613;59,466;66,255;64,380;65,412;66,525;58,809;77,604;66,192;72,563;63,603
BV4.1 kalenderbereinigt;1999;2. Quartal;75,702;75,644;74,738;/;74,668;66,742;75,799;77,273;76,166;76,580;77,743;89,220;76,711;74,256;69,917;77,827;72,730;74,084;75,740;65,319;86,331;77,469;88,802;74,327
BV4.1 kalenderbereinigt;1999;3. Quartal;67,999;66,469;65,578;/;64,704;57,372;70,190;71,342;69,383;67,399;69,260;79,138;71,055;65,565;55,105;71,723;65,111;68,394;71,878;63,895;83,302;71,622;80,038;67,347
BV4.1 kalenderbereinigt;1999;4. Quartal;78,446;75,665;74,991;/;75,030;70,856;83,781;75,097;80,455;76,339;78,165;90,562;78,275;71,656;65,496;79,803;74,070;73,388;85,565;76,555;96,623;87,106;91,717;80,467
BV4.1 kalenderbereinigt;2000;1. Quartal;67,361;66,867;66,162;/;65,227;62,679;69,527;71,158;68,007;67,597;68,032;74,450;68,701;68,522;63,087;69,519;65,784;67,706;68,551;60,846;79,695;68,149;74,012;65,927
BV4.1 kalenderbereinigt;2000;2. Quartal;77,267;77,723;77,596;/;77,626;73,342;77,197;79,194;76,988;77,825;79,319;86,834;77,782;78,894;72,405;78,839;73,859;75,894;75,978;65,980;86,921;77,286;86,792;74,230
BV4.1 kalenderbereinigt;2000;3. Quartal;69,889;68,333;68,100;/;67,153;64,013;73,199;73,136;70,886;68,553;70,279;77,541;71,609;68,928;57,620;71,486;67,125;70,050;73,832;66,088;84,504;73,602;83,948;69,054
BV4.1 kalenderbereinigt;2000;4. Quartal;80,284;77,497;77,336;/;77,287;78,053;85,966;76,638;81,965;77,635;79,245;89,171;79,106;75,868;68,307;79,473;76,213;75,180;87,408;79,270;98,631;87,775;94,386;81,842
BV4.1 kalenderbereinigt;2001;1. Quartal;69,123;68,588;68,078;/;67,183;65,828;71,594;72,646;69,681;69,095;70,592;74,884;69,958;69,681;65,226;69,980;66,038;67,905;70,403;62,726;81,786;69,940;76,759;66,668
BV4.1 kalenderbereinigt;2001;2. Quartal;79,438;79,964;80,160;/;79,930;80,631;80,111;81,440;78,964;79,744;82,703;87,655;79,418;80,024;74,928;79,629;74,194;76,155;77,911;67,236;89,302;79,478;90,689;75,287
BV4.1 kalenderbereinigt;2001;3. Quartal;71,265;70,155;69,950;/;69,064;66,978;74,293;74,609;71,978;70,350;73,660;78,560;73,412;69,513;60,342;72,141;66,828;68,973;74,049;65,752;85,398;74,072;84,241;68,821
BV4.1 kalenderbereinigt;2001;4. Quartal;82,024;79,301;79,200;/;79,130;81,407;87,630;78,048;83,605;79,386;82,195;90,363;80,690;76,781;70,612;81,077;76,677;74,691;89,030;80,671;100,461;89,529;97,263;82,789
BV4.1 kalenderbereinigt;2002;1. Quartal;70,588;69,926;68,934;/;67,985;66,357;71,238;74,416;71,487;70,895;72,528;76,907;72,311;71,966;67,529;70,091;66,873;69,019;72,197;65,265;83,047;71,402;79,620;67,412
BV4.1 kalenderbereinigt;2002;2. Quartal;81,277;81,702;81,805;/;81,941;76,760;80,830;83,021;80,943;81,587;84,453;90,869;81,724;82,613;76,222;80,901;75,129;77,862;80,008;70,555;90,346;81,189;93,020;76,239
BV4.1 kalenderbereinigt;2002;3. Quartal;73,409;72,557;72,376;/;71,766;66,260;74,857;77,122;73,958;72,725;76,490;81,065;75,858;72,115;63,504;74,127;67,358;70,738;75,515;68,454;85,660;75,172;86,248;69,454
BV4.1 kalenderbereinigt;2002;4. Quartal;83,655;81,112;80,662;/;80,775;80,325;88,099;79,671;85,302;81,543;84,690;92,774;83,008;79,284;73,382;82,511;77,481;76,166;90,187;83,551;100,272;89,712;99,486;83,496
BV4.1 kalenderbereinigt;2003;1. Quartal;72,831;72,654;71,369;/;70,338;71,455;74,567;76,940;73,617;73,886;76,497;79,407;74,613;73,908;70,997;75,773;68,359;70,556;73,210;66,033;82,804;72,918;82,339;69,941
BV4.1 kalenderbereinigt;2003;2. Quartal;83,568;84,561;84,241;/;84,127;83,918;82,283;85,948;83,193;84,868;88,838;93,850;84,233;85,349;80,055;84,831;76,834;79,264;80,944;71,307;90,156;82,482;94,847;78,960
BV4.1 kalenderbereinigt;2003;3. Quartal;75,316;74,289;74,050;/;73,439;71,092;77,050;78,425;75,995;74,518;78,702;83,105;77,216;73,239;65,884;77,946;68,323;70,722;77,867;71,985;88,628;75,990;87,206;71,744
BV4.1 kalenderbereinigt;2003;4. Quartal;84,907;82,810;82,299;/;82,254;85,348;90,271;81,134;86,313;83,299;86,876;95,203;83,367;80,098;75,457;86,915;78,940;75,609;90,182;84,265;98,123;90,130;98,741;85,680
BV4.1 kalenderbereinigt;2004;1. Quartal;74,177;74,300;73,172;/;72,321;74,328;74,952;77,967;74,715;75,371;78,230;81,335;75,971;75,401;73,043;71,957;70,406;70,346;73,831;67,448;82,713;73,046;84,237;70,403
BV4.1 kalenderbereinigt;2004;2. Quartal;84,869;85,862;85,959;/;86,116;88,691;84,414;85,378;84,299;85,781;89,316;93,194;82,666;86,996;82,537;84,782;79,503;80,058;82,349;74,829;91,171;82,996;92,422;78,462
BV4.1 kalenderbereinigt;2004;3. Quartal;75,536;74,645;74,204;/;73,553;70,745;77,683;79,033;76,247;75,069;79,680;83,145;77,059;74,402;66,428;76,415;68,786;71,143;77,715;72,564;85,828;77,017;87,251;71,708
BV4.1 kalenderbereinigt;2004;4. Quartal;85,581;83,853;83,802;/;84,202;86,866;91,788;80,101;86,530;83,910;87,608;91,129;82,103;82,574;77,842;86,996;81,752;75,627;89,843;86,269;96,806;89,814;92,265;82,411
BV4.1 kalenderbereinigt;2005;1. Quartal;74,122;74,210;72,850;/;71,986;73,265;75,556;77,676;74,796;75,486;77,887;80,687;75,107;77,164;73,447;70,569;72,649;68,720;73,875;69,317;81,655;72,710;80,389;70,045
BV4.1 kalenderbereinigt;2005;2. Quartal;85,307;86,593;86,504;/;86,581;87,543;86,995;86,179;84,699;86,691;89,980;93,510;83,473;89,170;83,594;84,374;82,432;78,255;82,109;76,642;89,370;82,512;86,856;78,587
BV4.1 kalenderbereinigt;2005;3. Quartal;75,778;75,408;75,018;/;74,355;71,866;79,174;79,455;76,187;75,785;79,718;83,210;77,441;76,791;67,366;76,009;71,742;69,886;76,659;73,463;83,554;75,895;79,237;71,062
BV4.1 kalenderbereinigt;2005;4. Quartal;85,126;83,833;83,870;/;84,088;87,165;91,369;80,673;85,794;83,815;86,665;90,676;82,213;83,655;78,202;85,904;83,947;73,485;88,276;86,713;93,671;88,478;84,255;81,198
BV4.1 kalenderbereinigt;2006;1. Quartal;75,290;75,894;75,694;/;75,195;73,595;77,456;79,468;75,103;76,096;78,189;81,166;75,622;77,697;75,081;69,556;72,952;69,997;73,801;71,498;80,211;72,024;76,698;69,737
BV4.1 kalenderbereinigt;2006;2. Quartal;85,679;87,398;88,154;/;88,914;90,581;84,233;83,885;84,438;86,734;90,301;92,356;83,295;89,302;84,375;81,311;82,531;78,692;81,478;77,936;87,349;81,382;84,338;77,548
BV4.1 kalenderbereinigt;2006;3. Quartal;76,579;76,538;77,043;/;77,247;75,063;77,577;76,810;76,360;76,099;79,286;83,305;77,719;76,674;69,278;73,986;72,793;70,716;76,651;73,935;82,346;76,169;79,766;71,249
BV4.1 kalenderbereinigt;2006;4. Quartal;85,877;84,773;85,473;/;85,772;90,099;93,252;81,714;86,104;84,159;86,948;91,203;82,684;83,090;79,747;83,346;84,275;74,477;88,526;87,017;92,523;89,186;87,116;82,046
BV4.1 kalenderbereinigt;2007;1. Quartal;75,164;75,671;74,823;/;74,419;74,454;75,971;77,278;75,352;76,456;78,167;79,543;75,377;79,047;77,228;70,154;74,193;69,552;73,912;72,385;78,992;72,171;77,655;70,036
BV4.1 kalenderbereinigt;2007;2. Quartal;86,478;88,550;89,351;/;90,210;91,633;84,014;84,777;85,042;87,846;90,170;92,167;83,903;90,929;90,288;82,009;83,914;78,132;81,442;79,149;85,494;81,232;85,295;77,745
BV4.1 kalenderbereinigt;2007;3. Quartal;77,089;77,031;77,214;/;77,061;72,374;77,418;79,738;77,042;76,883;79,625;82,102;77,938;79,145;71,124;74,955;74,894;70,653;77,201;75,383;81,316;76,841;81,102;71,954
BV4.1 kalenderbereinigt;2007;4. Quartal;86,870;86,195;86,728;/;86,830;87,835;90,723;85,306;86,961;85,734;87,753;90,933;83,608;86,392;84,706;84,176;86,345;74,828;88,467;88,408;90,964;88,873;87,262;81,659
BV4.1 kalenderbereinigt;2008;1. Quartal;76,996;77,406;76,468;78,253;75,922;73,524;77,475;80,014;77,281;78,273;78,673;81,038;77,241;80,861;80,837;72,994;77,403;71,547;75,975;75,761;78,693;74,529;82,841;70,885
BV4.1 kalenderbereinigt;2008;2. Quartal;88,212;90,195;90,833;90,128;91,526;90,141;85,945;87,656;86,900;89,641;90,955;92,983;83,693;91,977;94,295;85,206;88,476;79,792;83,350;82,436;86,337;81,922;92,115;78,960
BV4.1 kalenderbereinigt;2008;3. Quartal;79,134;79,077;79,211;75,888;78,823;74,267;79,213;82,872;79,113;78,974;81,246;84,332;79,484;80,101;73,812;77,903;77,667;73,466;79,255;78,741;82,325;78,144;85,730;73,295
BV4.1 kalenderbereinigt;2008;4. Quartal;89,801;89,907;92,047;92,067;92,501;90,026;93,678;89,779;88,680;87,994;89,836;94,274;84,173;86,233;87,050;88,319;89,839;78,315;89,522;88,609;92,600;89,828;90,825;83,138
BV4.1 kalenderbereinigt;2009;1. Quartal;79,767;79,874;79,442;81,501;78,710;77,785;81,123;83,717;79,941;80,274;81,051;84,542;78,650;82,293;79,575;75,178;79,434;75,200;79,480;79,546;81,649;78,619;84,148;74,191
BV4.1 kalenderbereinigt;2009;2. Quartal;91,548;93,023;94,211;97,090;94,704;93,622;88,545;91,902;90,225;91,979;93,487;96,817;85,827;94,103;92,757;87,353;91,128;84,534;87,935;87,636;92,368;85,881;92,882;81,842
BV4.1 kalenderbereinigt;2009;3. Quartal;81,473;80,998;81,198;78,448;80,851;75,112;80,778;84,982;81,622;80,834;82,244;86,480;80,196;81,885;75,468;78,852;80,967;76,719;82,597;82,624;86,703;81,047;86,042;75,171
BV4.1 kalenderbereinigt;2009;4. Quartal;90,322;89,700;90,414;94,051;90,059;91,066;93,387;91,647;90,289;89,079;90,793;96,467;83,679;87,011;89,007;87,892;88,982;81,540;91,803;90,370;96,037;91,964;92,066;85,079
BV4.1 kalenderbereinigt;2010;1. Quartal;80,753;80,840;79,893;84,121;79,165;75,575;80,116;84,626;81,158;81,645;81,905;86,877;79,724;84,371;80,848;78,531;80,810;76,266;80,513;80,395;84,660;78,805;83,169;74,528
BV4.1 kalenderbereinigt;2010;2. Quartal;92,595;94,349;94,641;97,038;95,004;96,318;88,732;92,849;91,621;94,099;94,864;99,383;87,653;95,838;98,670;88,648;92,549;85,200;88,477;87,221;92,961;87,175;92,614;83,403
BV4.1 kalenderbereinigt;2010;3. Quartal;82,136;81,772;81,116;79,868;80,525;75,920;80,629;85,833;82,617;82,329;83,450;89,106;81,857;82,487;78,477;81,889;81,732;77,551;82,941;82,072;87,254;82,176;85,119;76,059
BV4.1 kalenderbereinigt;2010;4. Quartal;91,860;91,463;91,635;94,073;91,351;91,795;94,864;92,594;91,964;91,314;92,587;99,350;86,430;88,534;92,132;90,750;91,999;82,379;92,737;90,968;96,081;93,718;92,280;86,959
BV4.1 kalenderbereinigt;2011;1. Quartal;82,431;82,593;82,016;87,063;81,562;78,211;82,427;85,067;82,624;83,081;83,862;83,276;82,386;85,642;83,515;79,886;83,550;78,036;82,016;81,539;85,022;81,477;83,932;76,701
BV4.1 kalenderbereinigt;2011;2. Quartal;95,793;97,790;98,853;101,636;99,748;98,385;89,615;95,347;94,348;96,894;98,112;96,364;91,139;98,520;103,246;93,544;96,547;88,880;91,098;89,827;95,052;90,516;91,386;86,838
BV4.1 kalenderbereinigt;2011;3. Quartal;84,409;84,005;83,858;83,478;83,375;77,765;81,759;88,337;84,666;84,129;85,555;85,430;84,328;84,077;80,719;85,391;85,306;80,965;85,310;84,587;89,109;84,954;84,956;79,121
BV4.1 kalenderbereinigt;2011;4. Quartal;94,336;93,790;94,068;99,469;93,747;94,874;96,990;94,882;94,460;93,557;95,218;96,989;90,358;90,661;94,386;93,993;95,145;86,377;95,564;94,178;98,082;96,985;91,604;90,630
BV4.1 kalenderbereinigt;2012;1. Quartal;83,915;84,590;83,325;87,242;82,426;79,460;80,878;88,989;84,199;85,659;86,973;84,891;85,139;88,659;86,075;78,316;84,835;82,637;82,263;80,086;86,762;83,218;80,476;75,088
BV4.1 kalenderbereinigt;2012;2. Quartal;99,355;101,964;101,795;106,122;102,704;101,071;92,894;98,369;98,185;102,108;103,871;103,738;95,764;105,148;104,521;96,977;102,009;93,998;93,005;90,952;95,791;93,407;94,363;90,547
BV4.1 kalenderbereinigt;2012;3. Quartal;86,473;86,139;85,429;87,054;84,834;78,510;83,567;90,384;86,975;86,739;88,302;88,969;86,183;84,216;84,327;87,697;87,574;84,170;87,273;87,483;90,266;86,891;87,386;80,187
BV4.1 kalenderbereinigt;2012;4. Quartal;98,452;97,059;96,383;105,808;95,740;101,225;101,611;97,291;99,446;97,630;98,123;101,223;95,300;95,452;99,254;100,278;98,920;91,422;101,823;101,749;103,233;101,233;101,960;100,549
