GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-22;Herstellung von Gummi- und Kunststoffwaren;9,911;10,620;10,300;10,407;10,811;10,748;10,954;11,430;11,454;12,043;12,360;12,157;11,744;12,062;11,947;11,946;12,447;13,164;12,208;12,899;13,626;14,189;14,566;15,171;15,762;16,168;16,730;17,285;17,571;16,706;...;...
WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;7,668;8,287;8,449;8,766;8,991;8,667;8,295;8,361;8,520;8,616;8,395;8,097;7,816;7,629;7,547;7,457;7,582;7,971;7,582;7,686;8,029;8,286;8,451;8,673;8,874;8,981;9,159;9,623;9,834;9,500;...;...
WZ08-24-01;Metallgewerbe;31,709;33,296;31,777;31,092;32,489;31,800;31,421;32,615;33,067;33,795;35,259;34,174;33,896;34,301;34,720;35,349;37,543;39,647;35,037;37,017;39,999;41,610;42,629;43,881;44,844;45,721;47,277;49,279;49,600;45,180;...;...
WZ08-24;Metallerzeugung und -bearbeitung;10,772;10,845;9,886;9,471;9,493;9,116;8,892;9,046;8,733;9,089;9,394;9,508;9,321;9,573;9,678;10,115;10,527;10,996;9,685;10,153;10,862;11,266;11,557;11,852;12,054;12,278;12,635;13,047;13,145;11,807;...;...
WZ08-25;Herstellung von Metallerzeugnissen;20,937;22,451;21,891;21,621;22,996;22,684;22,529;23,569;24,334;24,706;25,865;24,666;24,575;24,728;25,042;25,234;27,016;28,651;25,352;26,864;29,137;30,344;31,072;32,029;32,790;33,443;34,642;36,232;36,455;33,373;...;...
WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;12,675;12,950;11,984;11,491;11,394;11,076;11,160;11,106;11,319;12,302;12,306;12,177;12,311;12,287;12,234;12,705;13,847;14,687;13,525;13,696;14,449;15,093;15,584;16,210;17,157;18,061;18,661;19,801;20,610;19,942;...;...
WZ08-27;Herstellung von elektrischen Ausrüstungen;14,875;15,128;14,449;14,777;15,504;15,312;15,153;15,535;15,982;17,230;17,900;17,886;17,841;18,180;18,291;18,569;19,096;19,950;18,925;19,656;21,005;21,771;22,332;23,174;23,292;23,527;24,457;25,472;25,284;24,012;...;...
WZ08-28;Maschinenbau;34,794;36,237;34,011;33,162;33,654;33,883;33,408;34,597;35,399;36,602;38,643;38,193;38,517;38,625;38,410;39,589;42,241;45,649;42,320;43,547;47,539;50,387;52,268;54,271;56,032;57,450;59,891;63,466;65,191;59,911;...;...
WZ08-29-01;Fahrzeugbau;27,844;29,183;28,076;27,710;28,305;30,628;31,629;33,158;35,801;37,507;38,980;40,547;40,259;41,516;41,785;43,661;44,757;44,360;40,940;42,247;46,340;49,924;52,924;55,983;59,279;60,834;62,567;65,785;67,994;61,876;...;...
WZ08-29;Herstellung von Kraftwagen und Kraftwagenteilen;24,230;25,410;24,169;23,964;24,667;26,944;28,086;29,601;31,878;33,209;34,553;35,946;35,889;36,954;37,147;38,876;39,641;38,966;35,321;36,545;40,310;43,423;45,869;48,653;51,521;52,563;54,162;57,215;58,686;52,981;...;...
