GENESIS-Tabelle: 81000-0111
VGR des Bundes - Bruttolöhne und -gehälter:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre, Wirtschaftsbereiche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruttolöhne und -gehälter (Mrd. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
WZ08-77;Vermietung von beweglichen Sachen;1,247;1,420;1,529;1,558;1,611;1,664;1,709;1,813;1,975;2,162;2,249;2,288;2,306;2,336;2,356;2,383;2,486;2,659;2,640;2,604;2,726;2,886;2,959;3,223;3,409;3,593;3,882;4,215;4,338;4,150;...;...
WZ08-78;Vermittlung und Überlassung von Arbeitskräften;1,646;1,720;1,616;1,931;2,471;2,677;3,105;3,857;4,400;5,287;5,558;5,250;5,558;6,703;7,833;10,296;12,842;13,565;11,179;14,379;17,294;17,864;18,192;19,504;20,735;22,018;24,127;24,681;23,317;19,820;...;...
WZ08-79;Reisebüros, -veranstalter u. sonst. Reservierungen;0,923;1,021;1,041;1,057;1,102;1,140;1,156;1,217;1,442;1,519;1,573;1,592;1,638;1,677;1,716;1,780;1,876;1,976;1,988;1,998;2,037;2,111;2,166;2,271;2,367;2,426;2,581;2,777;2,898;2,070;...;...
WZ08-80-01;Unternehmensdienstleister a.n.g.;7,969;8,616;9,313;9,956;10,777;11,374;11,909;12,797;14,059;15,175;15,699;15,966;16,289;16,837;17,223;18,196;19,523;20,832;21,970;23,020;24,317;26,091;27,229;28,525;31,041;33,929;36,123;38,436;41,007;41,234;...;...
WZ08-O-03;Öffentliche Dienstleister, Erziehung, Gesundheit;152,236;166,912;175,605;180,347;190,430;195,710;196,985;200,416;206,748;212,253;217,051;223,126;224,773;225,969;225,358;226,010;228,182;236,345;249,386;257,949;264,756;273,435;284,010;295,795;308,515;324,575;340,262;355,512;373,941;390,364;406,590;425,714
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;62,437;68,187;71,034;72,028;74,237;75,522;75,106;75,571;76,948;77,886;78,822;79,974;80,212;80,183;80,292;80,679;81,000;82,888;86,316;88,317;89,678;91,409;94,123;96,614;98,521;102,370;106,744;110,999;116,018;121,871;126,084;...
WZ08-P;Erziehung und Unterricht;38,029;42,174;45,080;46,145;49,184;50,811;51,295;52,277;54,427;56,341;58,881;60,223;60,346;60,591;59,683;59,710;60,204;61,633;64,956;67,267;68,914;71,047;73,680;76,895;78,811;81,722;84,943;88,596;93,005;96,048;99,080;...
WZ08-Q;Gesundheits- und Sozialwesen;51,770;56,551;59,491;62,174;67,009;69,377;70,584;72,568;75,373;78,026;79,348;82,929;84,215;85,195;85,383;85,621;86,978;91,824;98,114;102,365;106,164;110,979;116,207;122,286;131,183;140,483;148,575;155,917;164,918;172,445;181,426;...
WZ08-86;Gesundheitswesen;35,357;38,274;40,143;41,938;45,460;47,326;48,103;49,483;51,319;53,138;53,885;56,382;56,940;57,478;57,340;57,152;57,871;60,966;64,624;66,923;68,896;72,115;75,137;78,907;84,400;89,372;93,635;97,554;102,797;106,230;...;...
WZ08-87-01;Heime und Sozialwesen;16,413;18,277;19,348;20,236;21,549;22,051;22,481;23,085;24,054;24,888;25,463;26,547;27,275;27,717;28,043;28,469;29,107;30,858;33,490;35,442;37,268;38,864;41,070;43,379;46,783;51,111;54,940;58,363;62,121;66,215;...;...
WZ08-R-02;Sonstige Dienstleister;24,521;27,650;29,443;30,796;32,443;33,412;33,797;34,860;36,685;37,912;38,466;38,892;39,257;39,413;38,710;39,163;40,159;41,411;42,622;43,210;44,676;45,680;46,668;47,926;49,798;52,148;54,161;56,378;59,374;58,612;58,988;63,310
WZ08-R;Kunst, Unterhaltung und Erholung;6,269;7,225;7,587;7,551;7,730;7,856;7,976;8,372;8,843;9,223;9,347;9,421;9,304;9,157;8,978;8,976;9,110;9,486;9,674;9,908;10,548;11,004;11,488;11,995;12,998;13,764;14,524;15,593;16,810;15,849;15,502;...
WZ08-90-01;Kunst und Kultur, Glücksspiel;4,041;4,791;5,014;4,946;5,029;5,086;5,131;5,325;5,535;5,720;5,771;5,762;5,630;5,526;5,401;5,379;5,469;5,619;5,631;5,727;5,719;5,915;6,158;6,351;6,800;7,036;7,315;7,709;8,194;7,747;...;...
WZ08-93;Dienstleistungen d.Sports,d.Unterhaltg.u.Erholung;2,228;2,434;2,573;2,605;2,701;2,770;2,845;3,047;3,308;3,503;3,576;3,659;3,674;3,631;3,577;3,597;3,641;3,867;4,043;4,181;4,829;5,089;5,330;5,644;6,198;6,728;7,209;7,884;8,616;8,102;...;...
WZ08-S;Erbringung von sonstigen Dienstleistungen;15,029;16,941;18,172;19,212;20,402;21,020;21,012;21,463;22,623;23,327;23,706;24,089;24,319;24,518;23,945;24,294;24,974;25,890;26,780;27,441;28,068;28,643;28,899;29,575;30,140;31,544;32,663;33,584;35,130;35,426;35,929;...
WZ08-94;Interessenvertr., kirchl. u. sonst. Vereinigungen;10,447;12,067;12,988;13,925;14,960;15,501;15,444;15,756;16,623;17,007;17,169;17,407;17,641;17,680;16,997;17,150;17,457;17,949;18,735;19,241;19,719;20,197;20,376;20,742;20,956;21,941;22,816;23,797;25,095;26,020;...;...
WZ08-95;Reparatur von DV-Geräten und Gebrauchsgütern;0,493;0,549;0,574;0,588;0,606;0,620;0,624;0,649;0,699;0,759;0,797;0,806;0,795;0,793;0,797;0,811;0,839;0,870;0,838;0,810;0,834;0,851;0,849;0,875;0,883;0,915;0,957;1,010;1,029;0,974;...;...
WZ08-96;Sonstige überwiegend persönliche Dienstleistungen;4,089;4,325;4,610;4,699;4,836;4,899;4,944;5,058;5,301;5,561;5,740;5,876;5,883;6,045;6,151;6,333;6,678;7,071;7,207;7,390;7,515;7,595;7,674;7,958;8,301;8,688;8,890;8,777;9,006;8,432;...;...
WZ08-T;Private Haushalte;3,223;3,484;3,684;4,033;4,311;4,536;4,809;5,025;5,219;5,362;5,413;5,382;5,634;5,738;5,787;5,893;6,075;6,035;6,168;5,861;6,060;6,033;6,281;6,356;6,660;6,840;6,974;7,201;7,434;7,337;7,557;...
WZ08-A-02;Alle Wirtschaftsbereiche;701,265;761,006;781,135;794,823;821,090;829,535;827,896;845,186;870,771;902,334;920,368;927,829;927,181;932,820;932,298;946,533;978,281;1018,304;1020,236;1050,509;1101,208;1147,568;1183,927;1231,955;1282,598;1334,927;1392,095;1460,028;1521,543;1510,233;1566,537;1665,852
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 03.05.2023 / 18:21:21
